Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Kårvik skole;975285340;Troms og Finnmark fylke;Senja kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Lade skole;975278921;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;51;Antall personer
Lagård ungdomsskole;974580632;Rogaland fylke;Eigersund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Lakkegata skole;974589923;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Lakselv barneskole;975280101;Troms og Finnmark fylke;Porsanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Lakselv ungdomsskole;975290441;Troms og Finnmark fylke;Porsanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;26;Antall personer
Lakselvbukt skole;974566370;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Laksvatn oppvekstsenter - Avd skole;974058804;Troms og Finnmark fylke;Balsfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Lalm skule;975274535;Innlandet fylke;Vågå kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Lamarka skole;979129637;Nordland fylke;Sortland - Suortá kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Lambertseter skole;974589931;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;58;Antall personer
Land Montessoriskole (privat);992962879;Innlandet fylke;Søndre Land kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;7;Antall personer
Lande barneskole;975280683;Viken fylke;Sarpsborg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Landro skule;975287750;Vestland fylke;Øygarden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Landvik skole;974548771;Agder fylke;Grimstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Landøya ungdomsskole;974578352;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Landås skole;974737868;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;47;Antall personer
Langangen skole;975277917;Vestfold og Telemark fylke;Porsgrunn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Langeland skole;974576058;Innlandet fylke;Kongsvinger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Langeland skule;974563487;Vestland fylke;Stord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Langemyr skole;974548879;Agder fylke;Grimstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Langenes skole;975271595;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Langestrand skole;974584611;Vestfold og Telemark fylke;Larvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Langesund barneskole;975278271;Vestfold og Telemark fylke;Bamble kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Langesund ungdomsskole;975289907;Vestfold og Telemark fylke;Bamble kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Langevåg skule;875277162;Møre og Romsdal fylke;Sula kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Langhus skole;974593521;Viken fylke;Nordre Follo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;37;Antall personer
Langmyra skole;973994700;Møre og Romsdal fylke;Molde kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Langnes skole;986571108;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Langset skole;875272292;Viken fylke;Eidsvoll kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Lardal skole;975271366;Vestfold og Telemark fylke;Larvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Larkollen skole;975280764;Viken fylke;Moss kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Larsgården skole;974573466;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;16;Antall personer
Larsnes skule;975277348;Møre og Romsdal fylke;Sande kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Larvik kommune Verdensmesteren Mottaksskole;986537031;Vestfold og Telemark fylke;Larvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Laskestad skole;975288463;Nordland fylke;Steigen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Lassa skole;977506123;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Laudal skole;975271625;Agder fylke;Lindesnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Laukvik skole;974558505;Nordland fylke;Vågan kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Laupstad skole;974558661;Nordland fylke;Vågan kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Lauvsnes skole;975290077;Trøndelag fylke;Flatanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Lavangen skole;974593165;Troms og Finnmark fylke;Lavangen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Lavik skule;975272079;Vestland fylke;Høyanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Lebesby oppvekstsenter - Avdeling skole;975280152;Troms og Finnmark fylke;Lebesby kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Leikanger barneskule;975299430;Vestland fylke;Sogndal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Leikanger skule;974616815;Møre og Romsdal fylke;Herøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Leikanger ungdomsskule;975276147;Vestland fylke;Sogndal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Leiknes skule;975285928;Vestland fylke;Alver kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Leira skole;875282212;Møre og Romsdal fylke;Aure kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Leirbotn skole;975279758;Troms og Finnmark fylke;Alta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Leirfjord barne- og ungdomsskole;874581372;Nordland fylke;Leirfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Leirvik skule;974563495;Vestland fylke;Stord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;37;Antall personer
Leka barne- og ungdomsskole;975268942;Trøndelag fylke;Leka kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Leknes skole;975288684;Nordland fylke;Vestvågøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;73;Antall personer
Leksdal skole;975279308;Trøndelag fylke;Verdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Lena ungdomsskole;875290622;Innlandet fylke;Østre Toten kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Lenangen skole;975290433;Troms og Finnmark fylke;Lyngen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Lenden skole og ressurssenter;974611643;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Lensvik skole;975282430;Trøndelag fylke;Orkland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Lepsøy skule;875284142;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Lerberg skole og kompetansesenter;998516897;Viken fylke;Modum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Lerstad barneskole;974573555;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Lesja skule;975274667;Innlandet fylke;Lesja kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Lesjaskog skule;975274675;Innlandet fylke;Lesja kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Levanger ungdomsskole;913433483;Trøndelag fylke;Levanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Levangsheia skole;975278409;Vestfold og Telemark fylke;Kragerø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Leveld skule;975284859;Viken fylke;Ål kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Levre skole;974552183;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Li skole;874738662;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Li skole;975290816;Viken fylke;Nittedal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Lianvatnet skole - Skoleavdelingen Bup-Klinikk;983671632;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Lidar skule;996388158;Innlandet fylke;Øystre Slidre kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Lierbyen skole;974546043;Viken fylke;Lier kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Liknes skole;975271773;Agder fylke;Kvinesdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Liland skole;974738279;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Lilleaker skole;874589942;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Lilleborg skole;974589958;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Lilleby skole;975278859;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Lillemoen skole;975273318;Innlandet fylke;Elverum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Lillesand ungdomsskole;975283224;Agder fylke;Lillesand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Lillesund skole;975276015;Rogaland fylke;Haugesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;58;Antall personer
Lillås skole;874605662;Vestfold og Telemark fylke;Horten kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Lindeberg skole;974590468;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;45;Antall personer
Lindebøskauen skole;985713480;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Linderud skole;974589966;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;56;Antall personer
Lindesnes Læringssenter;974615754;Agder fylke;Lindesnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Lindhøy skole;974607549;Vestfold og Telemark fylke;Færder kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Lindås barneskule;975285898;Vestland fylke;Alver kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Lindås ungdomsskule;975285936;Vestland fylke;Alver kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Lisleherad Montessoriskole Sa (privat);911785005;Vestfold og Telemark fylke;Notodden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;8;Antall personer
Lismarka skole;975270734;Innlandet fylke;Ringsaker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Lista ungdomsskole;975295087;Agder fylke;Farsund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;26;Antall personer
Litlabø skule;974563509;Vestland fylke;Stord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Ljabruskolen - Steinerskole for Elever Med Spesielle Behov (privat);973465139;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;12;Antall personer
Ljan skole;974589974;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Loar skule;975274578;Innlandet fylke;Lom kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Loddefjord skole;974738589;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Loen skule;975277062;Vestland fylke;Stryn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Lofsrud skole;974590794;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Lom kompetansesenter;922863679;Troms og Finnmark fylke;Alta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Lom ungdomsskule;975274586;Innlandet fylke;Lom kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Lommedalen skole;974552191;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;34;Antall personer
Lone skule;974738112;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Lonevåg skule;982763053;Vestland fylke;Osterøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Longyearbyen skole - Grunnskole og videregående S;974795655;Svalbard;Svalbard kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Lovisenberg skole;975290379;Innlandet fylke;Hamar kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Lovisenlund skole;974598744;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Lovund skole;975287173;Nordland fylke;Lurøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;17;Antall personer
Luhr skole;916974302;Viken fylke;Lørenskog kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Lund skole;975270866;Innlandet fylke;Løten kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Lund ungdomsskole;975275914;Rogaland fylke;Lund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Lundamo skole og barnehage - Avd skole;974559579;Trøndelag fylke;Melhus kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Lundamo ungdomsskole;974559617;Trøndelag fylke;Melhus kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Lunde 10-Årige skole;974608650;Vestfold og Telemark fylke;Nome kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Lunde barneskole;973872257;Viken fylke;Fredrikstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Lunde barneskole;975278123;Vestfold og Telemark fylke;Skien kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Lunde barneskule;975282147;Vestland fylke;Bjørnafjorden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Lunde skole;975288935;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Lunde skole;983083269;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Lundehaugen ungdomsskole;994392328;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;57;Antall personer
Lunden skole;975270858;Innlandet fylke;Hamar kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Lunderød skole og ressurssenter;912457192;Agder fylke;Arendal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Lundstein skole;975274764;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Lunheim skole;974566613;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Lunner barneskole;989571249;Viken fylke;Lunner kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Lunner ungdomsskole;875273922;Viken fylke;Lunner kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Lura skole;974610736;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Lurahammaren ungdomsskole;980030253;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Lusetjern skole;973626450;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
